rainfall_mm,temperature_c,fertilizer_kg_per_ha,area_hectares,soil_type,crop,yield_tons_per_hectare
143.63502971184062,32.45404285049363,44.067280749020554,5.431276958794071,Clay,Wheat,3.615433746999634
287.67857660247904,28.40240915860301,90.44712315918656,5.0522278374824445,Clay,Maize,7.347812019538459
232.99848545285127,22.738190407158193,133.48295866393306,0.743599625161139,Clay,Wheat,6.480096618389223
199.66462104925915,35.344875492673715,115.18923523324295,3.7418543624484855,Sandy,Rice,4.521259554702099
89.00466011060914,32.11827931384698,124.85294922198847,4.111858378465643,Sandy,Wheat,2.768769255542779
88.99863008405066,19.065423483622283,105.64183767239325,4.288816418520555,Sandy,Maize,3.339904515933719
64.52090304204987,37.77317961234606,109.99595338732082,6.011637507659657,Clay,Maize,1.151240693551638
266.54403644373383,35.56343107307923,130.3954347034915,5.569224193905345,Sandy,Rice,6.048829637026569
200.2787529358022,38.7449978322981,52.45684115169417,6.275098381537724,Loamy,Rice,3.535483052674726
227.01814444901137,33.142987709709004,83.62524527360827,7.766390984650219,Loamy,Wheat,4.781890303233621
55.14612357395061,30.33537989839475,48.75722743654829,8.223364517802889,Sandy,Wheat,2.309525872855748
292.4774630404986,25.456075907265472,148.39684103956412,7.322169224151697,Loamy,Maize,7.518471168741692
258.11066020010543,38.31821208385033,142.72771415925973,9.57747511157188,Loamy,Rice,5.752530897090706
103.08477766956904,36.65159723751021,25.125485477905766,0.6732095354254355,Clay,Rice,1.8598589942971693
95.45624180177515,16.130466752654733,111.7247724270395,2.359890863993688,Sandy,Rice,3.2711048761028096
95.85112746335845,15.6591743624313,140.28228126403656,0.5718473122923502,Sandy,Wheat,3.2048308852759595
126.06056073988444,24.41158417195124,43.47479486655336,6.651009784468728,Clay,Rice,4.45786922074621
181.18910790805947,35.26383326954583,93.83287997184183,9.031290215024876,Loamy,Maize,4.4835432884998
157.98625466052894,39.68190323287361,139.01347868644544,2.813081817474843,Loamy,Maize,3.6203607744534856
122.80728504951048,18.760422277588205,24.41297721615385,9.306828175564913,Sandy,Wheat,2.863913328950486
202.96322368059487,29.853267883803376,110.66463474208919,1.0725402077508281,Loamy,Wheat,5.826595771370056
84.87346516301045,24.52227141577554,58.6553709584316,9.377142254652385,Clay,Rice,3.6460117953513516
123.03616213380454,39.24785994536508,140.17150539894897,3.8404155287765267,Clay,Wheat,2.5611146290313025
141.59046082342292,36.05297307839272,146.2375718714978,1.463497870267557,Sandy,Maize,3.9501732257252646
164.01749605425897,35.958217617778445,142.75464358474642,5.115781712270094,Clay,Rice,4.701327058087988
